IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.81.112,2053,0,true,SIN,Asia Pacific,Singapore,359,0.67
8.219.78.188,2083,2083,true,SIN,Asia Pacific,Singapore,290,0.66
8.219.200.145,2053,2053,true,SIN,Asia Pacific,Singapore,291,0.61
47.236.180.24,2096,0,true,SIN,Asia Pacific,Singapore,407,0.60
47.237.11.182,80,0,false,SIN,Asia Pacific,Singapore,287,0.59
47.237.92.26,2053,0,true,SIN,Asia Pacific,Singapore,351,0.57
47.245.84.124,2087,0,true,SIN,Asia Pacific,Singapore,300,0.57
8.219.161.129,80,80,false,SIN,Asia Pacific,Singapore,317,0.55
47.236.189.92,2083,2083,true,SIN,Asia Pacific,Singapore,308,0.53
47.236.170.225,80,80,false,SIN,Asia Pacific,Singapore,298,0.53
47.237.125.8,2082,2082,false,SIN,Asia Pacific,Singapore,290,0.49
47.245.114.163,2086,2086,false,SIN,Asia Pacific,Singapore,352,0.48
8.222.214.231,2052,2052,false,SIN,Asia Pacific,Singapore,494,0.48
47.237.125.8,2096,2096,true,SIN,Asia Pacific,Singapore,285,0.45
47.245.105.224,2053,0,true,SIN,Asia Pacific,Singapore,361,0.43
47.236.117.48,8443,0,true,SIN,Asia Pacific,Singapore,405,0.41
8.222.214.231,8080,8080,false,SIN,Asia Pacific,Singapore,400,0.39
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,286,0.38
47.236.10.100,8880,8880,false,SIN,Asia Pacific,Singapore,302,0.38
47.236.10.100,80,80,false,SIN,Asia Pacific,Singapore,361,0.36
47.245.84.124,8880,8880,false,SIN,Asia Pacific,Singapore,355,0.36
47.245.102.52,2083,0,true,SIN,Asia Pacific,Singapore,287,0.32
47.236.75.152,8443,0,true,SIN,Asia Pacific,Singapore,402,0.28
47.236.170.225,2053,0,true,SIN,Asia Pacific,Singapore,316,0.26
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,402,0.25
8.219.144.168,443,0,true,SIN,Asia Pacific,Singapore,408,0.18
47.245.102.52,2087,0,true,SIN,Asia Pacific,Singapore,319,0.18
8.219.65.216,80,80,false,SIN,Asia Pacific,Singapore,308,0.16
47.236.63.152,443,0,true,SIN,Asia Pacific,Singapore,300,0.14
54.251.92.52,443,443,true,SIN,Asia Pacific,Singapore,90,0.07
47.236.75.152,2096,0,true,SIN,Asia Pacific,Singapore,403,0.00
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,286,0.00
8.219.198.139,2082,0,false,SIN,Asia Pacific,Singapore,284,0.00
13.228.142.218,443,0,true,SIN,Asia Pacific,Singapore,89,0.00
8.219.200.145,2083,2083,true,SIN,Asia Pacific,Singapore,295,0.00
8.219.50.180,2053,2053,true,SIN,Asia Pacific,Singapore,281,0.00
8.219.78.188,2082,0,false,SIN,Asia Pacific,Singapore,286,0.00
8.219.78.188,2053,0,true,SIN,Asia Pacific,Singapore,402,0.00
8.222.214.231,2086,2086,false,SIN,Asia Pacific,Singapore,443,0.00
47.236.205.188,2082,2082,false,SIN,Asia Pacific,Singapore,408,0.00
47.236.87.246,2095,0,false,SIN,Asia Pacific,Singapore,282,0.00
47.236.17.193,2053,0,true,SIN,Asia Pacific,Singapore,279,0.00
